WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
2/4/2015 14:00,5.5,154,27,0,1013.8,1017.2,1017.4,0,27.4,4,181,24.8,24.2,25.1,25.9,5,25.78
2/4/2015 14:10,5.5,109,22,0.1,1013.7,1017.1,1017.3,0,26.4,3,859,24.9,24.2,25.1,25.9,5,26.34
2/4/2015 14:20,5.1,7,28,0.1,1013.6,1017,1017.2,0,24,4,900,25.1,24.2,25.1,25.9,7,27.51
2/4/2015 14:30,4.7,187,80,0.1,1013.5,1016.9,1017.1,0,24.8,4,159,25.2,24.2,25.1,25.9,11,26.51
2/4/2015 14:40,5.1,138,22,0.1,1013.4,1016.8,1017,0,26.1,4,183,25.3,24.3,25.1,25.9,6,26.06
2/4/2015 14:50,9.3,187,55,0,1013.5,1016.9,1017.1,0,36.3,4,778,25.4,24.3,25.1,25.9,6,25.39
2/4/2015 15:00,9.3,256,33,0.2,1013.4,1016.8,1017,0,34.5,6,686,25.5,24.3,25.1,25.9,11,26.25
2/4/2015 15:10,8.2,220,31,0.1,1013.1,1016.5,1016.7,0,32.5,6,694,25.6,24.3,25.1,25.9,13,25.92
2/4/2015 15:20,9.4,236,32,0.1,1013.2,1016.6,1016.8,0,34.9,7,568,25.8,24.4,25.1,25.9,11,26.15
2/4/2015 15:30,9.5,246,29,0.1,1013.5,1016.9,1017.1,0,35.3,6,535,25.9,24.4,25.1,25.9,13,26.03
2/4/2015 15:40,9.1,247,25,0.1,1013.6,1017,1017.2,0,35.9,7,504,26,24.4,25.1,25.9,13,25.31
2/4/2015 15:50,9,235,30,0.1,1013.4,1016.8,1017,0,36.6,6,484,26.1,24.5,25.1,25.9,10,24.86
2/4/2015 16:00,9.6,231,26,0.1,1013.1,1016.5,1016.7,0,37.2,6,447,26.2,24.5,25.1,25.9,10,25.32
2/4/2015 16:10,9.1,232,29,0,1013,1016.4,1016.6,0,37.1,6,389,26.3,24.6,25.1,25.9,10,24.75
2/4/2015 16:20,9.4,238,32,0.1,1013.1,1016.5,1016.7,0,38.4,6,356,26.4,24.6,25.1,25.9,12,24.57
2/4/2015 16:30,9.8,236,30,0,1013.5,1016.9,1017.1,0,40,6,334,26.5,24.6,25.1,25.9,10,24.28
2/4/2015 16:40,8.8,234,34,0.1,1013.5,1016.9,1017.1,0,37,6,304,26.5,24.7,25.1,25.9,10,24.49
2/4/2015 16:50,9.2,227,34,0.1,1013.4,1016.8,1017,0,40.3,6,266,26.6,24.7,25.1,25.9,11,23.53
2/4/2015 17:00,10.1,232,33,0,1013.1,1016.5,1016.7,0,43.4,6,229,26.7,24.8,25.1,25.9,11,23.25
2/4/2015 17:10,9.6,224,32,0,1013.3,1016.7,1016.9,0,42.6,5,180,26.8,24.8,25.1,25.9,9,23.07
2/4/2015 17:20,9.2,224,31,0.1,1013.5,1016.9,1017.1,0,42,6,145,26.9,24.8,25.1,25.9,10,22.82
2/4/2015 17:30,10.5,221,28,0,1013.1,1016.5,1016.7,0,46.5,5,37,26.9,24.9,25.1,25.9,8,22.62
2/4/2015 17:40,10.5,117,38,0,1013.7,1017.1,1017.3,0,47.2,4,42,27,24.9,25.1,25.9,8,22.3
2/4/2015 17:50,10.4,223,23,0,1013.8,1017.2,1017.4,0,47.9,4,28,27.1,25,25.1,25.9,7,21.97
2/4/2015 18:00,11,230,25,0,1013.4,1016.9,1017,0,50.9,5,28,27.1,25,25.1,25.9,8,21.66
2/4/2015 18:10,11.7,227,22,0,1013.9,1017.4,1017.5,0,54.3,4,17,27.2,25,25.1,25.9,7,21.37
2/4/2015 18:20,11.7,233,18,0,1014.1,1017.6,1017.7,0,55.3,3,21,27.2,25.1,25.1,25.9,5,21.09
